Região de Saúde,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
31041,40.96,38.03,33.87,33.08,31.16,32.22,32.77,31.11,30.93,30.19,29.94,26.15
31042,35.88,40.59,50.14,28.37,26.86,25.36,13.24,12.74,2.82,0.00,0.00,0.00
31043,30.56,19.90,7.69,14.91,16.52,14.78,15.90,16.09,16.82,15.95,14.82,12.82
31044,24.61,9.89,13.93,19.28,19.16,23.28,22.15,20.77,32.35,32.80,30.73,29.15
31045,19.95,14.04,12.14,11.78,9.71,7.85,6.02,6.19,7.11,8.80,10.09,6.91
31046,47.35,39.26,40.73,51.93,52.08,54.15,52.25,55.65,55.74,47.31,45.49,45.72
31047,10.82,13.41,25.59,38.85,43.95,56.51,58.83,61.83,65.72,63.95,41.37,32.36
31048,45.41,31.26,41.12,59.19,45.60,46.53,42.30,43.18,38.22,34.36,31.60,31.91
31049,43.82,40.73,34.10,33.28,32.51,33.61,35.07,38.05,40.39,41.29,40.68,38.69
31050,46.80,45.05,45.11,45.92,44.21,44.69,41.50,43.80,46.54,47.78,47.88,43.35
31051,62.73,60.97,60.58,60.53,54.61,51.92,45.13,49.13,57.43,55.61,54.39,48.57
31052,25.66,30.29,30.22,34.73,36.01,35.65,35.64,35.27,30.95,27.38,30.48,30.35
31053,43.25,26.89,10.89,7.78,7.75,8.37,7.47,21.07,32.71,24.59,22.05,9.90
31054,34.41,39.52,39.27,42.16,39.08,37.22,34.57,36.45,40.61,41.78,39.78,38.04
31055,26.14,34.47,49.63,53.43,54.12,53.57,50.86,48.72,53.99,55.62,45.72,49.49
31056,54.97,53.57,38.83,30.63,24.85,20.96,13.33,16.56,13.97,11.82,12.45,11.64
31057,43.20,46.09,52.68,54.57,53.77,53.73,58.42,59.05,65.54,64.92,65.06,62.54
31058,47.25,59.87,66.57,62.87,52.27,54.15,49.62,42.60,39.99,39.59,39.56,35.83
31059,38.98,34.43,27.53,25.93,18.45,18.88,17.13,22.05,27.09,26.19,26.09,23.15
31060,29.35,41.48,48.52,42.49,40.29,41.70,37.07,29.12,33.00,40.10,41.43,47.10
31061,45.49,37.77,30.67,27.79,26.65,26.88,24.66,26.19,25.42,25.31,25.21,23.48
31062,42.00,54.78,54.82,54.82,42.31,42.34,63.64,74.57,82.28,97.71,94.50,96.54
31063,49.23,48.00,51.76,52.96,53.45,48.71,48.33,53.40,57.04,51.11,52.55,62.59
31064,40.84,54.36,57.68,64.54,65.69,66.38,63.70,54.21,52.60,54.66,52.17,55.86
31065,25.72,29.16,26.90,26.08,37.12,27.21,24.91,27.73,29.13,31.04,29.67,30.48
31066,24.22,22.33,24.75,23.33,23.25,19.58,19.74,19.13,25.40,35.32,31.26,31.85
31067,35.16,40.96,39.44,45.39,45.75,43.00,42.71,51.61,58.34,58.08,56.34,58.48
31068,28.76,39.35,43.92,37.50,30.92,28.57,41.53,49.16,45.00,43.69,44.31,51.77
31069,27.30,30.16,30.90,31.46,26.74,26.84,30.75,28.77,29.35,22.13,19.76,21.10
31070,21.89,23.56,29.46,29.91,28.16,23.67,18.65,13.54,24.35,28.49,29.98,31.95
31071,42.48,47.02,44.91,38.50,40.15,37.96,37.12,36.53,32.00,32.96,31.38,33.58
31072,7.37,9.35,9.67,11.80,9.53,5.99,5.07,5.59,5.86,4.74,7.12,5.30
31073,25.95,26.26,26.11,27.98,28.15,29.17,28.11,31.58,32.87,30.98,31.18,32.20
31074,44.21,40.09,37.52,37.39,40.78,40.24,37.51,43.83,51.19,56.26,59.08,62.63
31075,13.54,18.63,19.02,15.95,19.61,30.88,37.29,44.48,46.17,47.01,47.86,48.04
31076,69.60,69.90,60.81,64.26,63.02,61.71,58.49,55.34,52.63,50.66,47.84,51.70
31077,38.31,30.41,27.45,36.86,32.35,22.05,18.36,20.70,24.96,32.08,34.34,42.11
32001,20.75,13.52,14.07,13.77,16.98,21.56,22.83,28.73,35.95,36.38,37.59,50.70
32002,21.82,19.80,17.91,18.09,18.75,17.14,17.76,21.40,21.19,21.36,20.20,21.66
32003,21.49,17.19,17.43,14.89,15.56,19.30,19.24,24.74,29.20,30.25,35.65,42.20
32004,34.24,32.09,30.84,29.72,31.71,30.92,30.25,36.78,40.49,46.14,45.59,46.86
33001,46.44,43.10,39.11,32.35,21.83,15.48,24.35,46.93,57.38,63.37,60.21,61.73
33002,19.57,24.52,25.62,25.50,26.51,24.64,22.36,22.09,20.33,19.80,20.68,19.86
33003,25.55,23.81,18.01,18.89,19.61,18.57,15.68,16.33,16.47,16.51,19.68,26.06
33004,33.46,31.19,29.63,28.71,28.12,25.60,24.51,23.60,22.10,21.87,22.68,25.23
33005,7.62,8.38,8.10,10.05,12.35,16.31,18.39,23.12,24.99,28.50,33.70,34.36
33006,55.01,67.18,67.53,63.85,61.51,55.01,46.39,45.38,43.43,45.76,48.83,47.40
33007,32.16,34.25,36.91,39.39,31.76,29.32,23.40,22.64,29.22,31.61,26.02,23.06
33008,8.84,16.10,16.95,14.10,12.26,11.79,12.18,12.73,13.83,16.90,18.28,23.20
33009,26.70,31.44,29.14,24.42,24.14,24.03,27.50,33.35,34.71,32.78,32.95,37.28
35011,8.72,7.81,4.98,5.77,6.92,6.10,6.99,12.12,15.16,14.96,13.85,14.95
35012,16.32,15.91,15.39,15.45,15.43,15.54,15.23,17.66,18.76,33.82,32.89,30.03
35013,9.46,10.62,11.29,11.32,12.99,11.18,7.77,15.12,22.00,23.98,24.25,27.08
35014,4.61,2.36,2.04,0.33,0.46,0.46,0.94,10.25,21.26,25.59,20.54,17.70
35015,11.40,12.02,12.21,15.67,14.86,16.90,15.31,19.71,24.71,25.19,25.25,27.05
35016,28.21,28.16,27.95,28.11,28.64,27.78,25.07,26.38,25.28,26.10,26.03,27.65
35021,34.52,28.39,28.79,32.20,34.99,35.49,31.86,38.42,43.89,37.25,36.03,35.23
35022,30.94,33.94,36.05,41.12,37.45,29.13,28.57,45.05,54.08,55.78,57.97,67.36
35023,29.17,28.02,29.27,47.24,57.91,51.02,47.66,48.58,50.12,50.54,48.30,50.99
35031,11.27,12.24,13.82,12.60,14.22,14.09,16.46,24.12,27.12,29.86,33.08,35.91
35032,27.30,23.54,24.06,23.78,24.10,22.17,18.16,14.21,14.10,10.95,12.95,16.48
35033,9.60,10.70,10.63,10.89,10.84,13.05,18.23,33.69,47.72,52.85,66.90,66.91
35034,12.96,14.29,14.44,13.58,11.79,11.14,12.36,14.52,17.43,18.74,19.43,21.66
35041,18.89,19.63,20.76,22.19,21.11,22.14,20.28,23.93,27.41,32.97,36.83,37.72
35051,8.94,11.97,12.25,7.45,9.63,6.87,8.50,9.39,11.67,12.41,8.30,8.25
35052,20.73,13.12,10.76,10.18,10.40,9.43,9.12,17.73,27.19,31.41,25.69,35.40
35061,6.18,9.35,12.01,12.98,13.26,15.31,13.70,26.08,39.76,42.08,41.92,37.44
35062,5.28,6.88,6.64,8.42,8.59,9.20,9.53,9.14,15.01,17.40,21.48,23.05
35063,17.57,21.23,24.76,27.47,24.70,18.96,14.68,16.19,17.13,15.44,15.29,17.85
35064,17.67,20.12,18.98,20.03,19.46,19.52,18.92,19.25,23.26,26.05,28.33,28.52
35065,0.59,1.68,2.50,2.58,2.56,2.55,6.74,21.90,26.99,28.61,28.83,28.83
35071,9.06,7.46,8.20,8.32,6.10,6.58,7.20,13.49,18.34,20.18,21.13,22.67
35072,15.50,16.24,17.31,17.47,17.67,17.79,16.44,20.48,21.69,22.10,22.62,19.93
35073,1.88,2.46,2.48,3.58,3.67,2.70,3.86,10.02,18.02,18.87,20.20,19.79
35074,9.21,17.38,20.28,22.71,22.54,22.13,26.89,30.24,35.32,36.07,35.57,33.55
35081,8.90,13.99,14.10,13.61,14.38,13.09,11.67,14.25,17.76,22.42,23.61,23.79
35082,25.13,39.03,37.37,35.16,35.09,37.70,39.36,31.37,35.92,43.12,49.78,52.51
35083,10.24,15.83,16.84,12.63,5.14,3.41,6.84,12.52,11.64,9.69,11.24,20.52
35091,6.03,6.11,3.79,5.73,6.21,7.98,14.88,27.14,42.47,55.69,55.90,61.00
35092,32.45,28.56,26.14,25.25,23.60,23.35,22.49,21.03,23.18,24.92,22.29,24.56
35093,14.14,8.60,8.36,6.36,5.51,7.22,6.78,7.88,8.71,8.49,9.83,12.27
35094,13.54,7.91,7.25,9.17,9.74,9.39,7.29,7.97,8.79,10.60,11.69,11.91
35095,16.24,8.66,6.29,12.84,16.06,9.63,9.33,13.21,15.53,17.07,15.77,18.43
35101,34.40,29.65,28.65,25.69,35.09,40.95,37.24,37.41,36.39,35.89,33.24,31.05
35102,13.63,10.83,8.52,10.51,11.31,9.83,7.16,9.89,29.93,44.02,43.72,38.35
35103,19.07,20.44,18.68,15.77,15.65,16.57,15.65,22.88,29.58,29.27,26.98,26.85
35104,7.10,10.17,9.50,10.24,11.68,10.75,8.18,9.80,11.00,11.03,10.68,12.05
35111,17.49,19.37,18.46,16.44,19.79,16.81,12.65,12.08,14.26,19.91,27.24,44.38
35112,28.02,30.58,27.16,23.85,22.85,22.99,23.05,24.81,25.99,27.64,30.26,36.82
35113,58.07,56.80,56.59,56.47,55.10,51.98,47.32,45.43,53.19,49.05,47.19,42.08
35114,49.71,52.83,52.88,51.82,51.63,51.44,49.61,36.70,25.95,28.56,27.43,29.05
35115,30.37,23.30,21.44,11.81,11.85,8.42,10.61,12.09,22.79,11.18,10.23,9.36
35121,41.51,55.86,52.61,54.33,58.19,51.81,52.27,61.71,59.74,56.13,56.63,68.99
35131,7.75,8.96,7.58,7.12,9.39,10.80,10.01,15.33,19.61,19.34,22.82,21.90
35132,10.32,11.08,10.98,10.94,10.81,14.16,16.33,16.69,17.02,15.78,15.97,16.24
35133,4.41,7.64,4.44,4.45,5.97,13.92,14.84,24.29,39.44,39.39,36.22,37.07
35141,24.39,22.42,18.46,18.55,18.19,16.99,19.69,25.49,29.87,31.83,33.06,33.75
35142,15.60,16.22,16.60,16.10,16.14,21.07,20.76,31.42,54.12,61.50,60.20,62.31
35143,9.70,6.87,8.26,7.19,6.54,7.65,8.49,16.48,22.60,22.10,24.67,23.51
35151,2.07,2.74,1.92,1.37,1.36,3.50,3.90,7.00,15.83,19.76,18.46,20.73
35152,52.85,64.20,62.43,54.22,58.46,49.99,51.76,51.48,44.81,42.47,42.26,42.09
35153,11.99,10.97,11.27,17.88,23.83,26.14,23.09,23.07,27.22,29.44,32.93,34.69
35154,18.46,20.11,15.81,10.85,8.11,11.69,19.96,28.25,38.50,44.10,58.51,58.75
35155,7.33,10.55,10.07,8.36,13.42,13.95,16.50,21.27,24.14,24.62,26.64,33.89
35156,12.72,19.24,22.38,20.71,17.24,14.57,12.22,15.10,30.84,31.48,27.58,17.56
35157,14.47,12.50,9.29,7.97,8.82,18.79,22.20,30.25,31.75,33.07,34.04,31.14
35161,18.65,13.48,13.55,14.08,14.77,17.68,18.46,24.19,31.30,33.03,35.20,29.28
35162,36.16,39.40,37.16,38.14,35.44,32.49,34.55,36.88,35.07,36.22,34.06,32.30
35163,11.68,12.37,11.40,11.02,11.13,10.20,9.77,13.80,23.60,24.56,25.47,31.58
35171,4.78,5.56,5.67,5.82,6.63,8.62,8.74,22.28,35.10,34.58,35.25,33.31
35172,11.84,11.65,8.49,9.18,10.09,10.49,10.03,11.17,11.39,10.78,10.86,12.61
35173,73.19,75.92,72.60,66.01,40.30,30.53,21.39,24.39,29.95,33.38,33.95,30.18
35174,14.99,17.03,14.87,12.08,12.81,11.11,10.99,10.55,13.33,19.29,20.65,20.31
41001,33.81,33.05,34.77,38.31,43.59,42.62,36.62,43.90,46.64,40.46,40.68,62.66
41002,11.72,11.44,11.70,13.28,13.10,13.90,15.54,19.03,20.95,21.25,24.33,26.53
41003,16.78,19.80,19.61,18.47,17.82,18.95,19.13,26.09,40.64,49.30,47.80,45.11
41004,28.11,23.63,25.53,25.67,25.74,26.21,28.58,25.05,25.47,25.50,28.41,27.62
41005,9.26,8.69,9.16,11.33,14.26,17.11,17.43,19.86,32.00,34.52,35.16,41.90
41006,29.17,30.51,29.90,29.04,28.50,27.38,35.45,41.95,54.87,52.11,47.29,49.89
41007,22.10,24.41,24.56,32.30,36.27,38.10,36.10,50.24,62.83,62.00,63.95,60.31
41008,17.42,14.54,10.23,10.46,13.57,15.29,15.04,20.62,25.30,28.17,31.02,30.56
41009,13.31,8.37,6.78,10.12,13.61,8.03,5.95,10.54,17.00,28.66,36.25,30.07
41010,17.50,14.52,13.76,15.58,15.16,16.18,17.33,20.75,28.02,28.15,28.76,36.68
41011,36.10,34.28,34.00,35.20,34.72,34.11,35.93,34.72,38.79,36.79,35.57,42.61
41012,25.43,25.42,21.86,22.88,24.09,22.42,25.80,32.23,33.69,34.90,37.67,38.08
41013,26.64,29.09,15.45,13.57,14.14,18.85,24.68,28.13,37.57,38.07,43.02,51.16
41014,46.20,36.24,30.87,30.18,33.53,34.56,21.22,26.13,25.77,26.74,27.11,24.38
41015,36.78,36.32,38.50,38.77,40.34,42.16,41.59,42.76,44.76,45.60,46.20,45.48
41016,48.30,37.94,36.77,34.11,31.85,32.66,32.65,35.34,37.37,39.91,42.77,44.28
41017,41.42,42.67,41.84,42.58,41.17,38.46,39.26,47.29,49.01,47.87,46.70,48.15
41018,20.37,24.32,24.93,24.63,24.70,24.77,21.22,24.00,35.91,39.01,41.97,47.29
41019,25.03,31.87,34.18,32.13,32.30,34.76,37.78,40.55,43.65,47.99,46.37,54.66
41020,12.53,15.53,16.53,13.57,16.69,16.66,17.14,25.61,39.65,45.83,46.14,49.99
41021,38.67,42.66,46.43,46.46,40.24,35.05,36.11,37.85,40.66,43.08,47.62,48.45
41022,33.31,32.84,30.29,26.32,27.01,23.09,26.90,35.47,46.33,44.46,44.75,52.53
42001,28.55,10.89,9.82,9.24,7.44,8.31,9.45,16.38,18.21,20.60,19.97,21.85
42002,30.93,31.33,26.90,26.80,25.10,28.35,30.41,34.24,37.49,40.96,42.85,45.45
42003,34.31,33.56,28.31,28.39,29.84,35.14,32.06,32.90,37.79,36.74,36.38,42.81
42004,48.64,39.33,42.86,42.18,42.60,46.19,44.16,50.63,56.52,64.93,65.25,61.99
42005,48.69,35.13,36.68,33.60,31.40,32.01,32.40,38.17,39.60,37.96,38.94,43.50
42006,54.20,57.37,55.15,52.77,50.98,54.99,53.22,52.30,47.21,46.22,46.52,46.39
42007,59.59,52.66,49.52,53.48,51.46,48.44,45.21,46.30,48.82,52.71,57.02,61.71
42008,26.11,14.14,13.75,13.35,13.10,12.30,13.24,13.87,13.26,14.23,15.37,17.95
42009,14.61,14.55,15.53,20.78,23.45,19.97,19.32,27.57,32.93,38.12,39.47,41.39
42010,9.21,9.92,11.72,11.27,14.05,27.81,22.44,22.14,23.90,24.97,29.88,24.92
42011,38.30,38.04,36.38,35.00,34.03,33.81,32.76,35.26,38.32,40.91,47.25,55.26
42012,26.65,26.41,26.49,27.57,28.56,26.10,24.98,31.87,40.73,40.13,43.26,46.69
42013,20.44,27.82,25.07,22.47,16.77,14.10,17.21,21.24,24.36,23.34,24.61,26.81
42014,31.92,41.63,39.61,37.23,32.53,20.30,19.97,24.94,26.04,31.18,36.73,36.60
42015,45.40,48.01,45.59,44.19,43.45,44.09,45.27,45.64,44.50,41.51,37.50,35.28
42016,35.32,29.40,30.67,27.63,27.63,27.25,26.04,24.86,23.98,23.22,20.45,21.79
43001,21.39,18.41,18.33,18.23,17.07,17.83,17.52,19.69,22.77,25.69,25.25,28.54
43002,17.69,6.72,10.86,16.63,13.72,14.03,12.27,18.81,20.92,27.22,26.71,27.55
43003,6.09,5.96,5.98,6.30,7.41,7.50,7.19,24.54,42.84,46.39,47.76,45.89
43004,15.15,20.36,21.28,22.93,26.94,25.44,32.14,39.22,47.29,52.60,56.10,60.05
43005,28.65,14.13,11.16,9.85,9.89,10.42,8.62,18.60,26.28,27.10,28.67,24.86
43006,30.13,27.56,23.01,16.78,19.30,20.41,18.31,23.67,47.79,62.58,65.30,65.19
43007,4.81,7.37,8.46,9.30,13.67,16.41,18.37,23.01,31.76,35.30,37.01,38.44
43008,9.80,13.49,15.12,14.06,13.85,14.56,19.84,28.85,37.30,36.39,36.24,36.30
43009,17.45,21.58,23.35,24.11,21.94,21.32,19.81,19.23,23.75,25.53,30.00,43.71
43010,16.49,20.28,20.85,21.16,20.24,20.89,19.44,24.57,30.00,30.41,29.64,32.51
43011,30.37,31.59,16.54,17.93,20.58,23.59,31.37,29.83,32.04,33.80,38.31,39.87
43012,27.28,21.38,22.65,21.26,23.94,21.13,11.07,25.77,41.76,42.84,38.37,41.61
43013,15.37,21.47,20.85,27.68,31.10,27.35,28.59,32.00,32.24,32.05,31.29,31.43
43014,23.76,19.46,21.14,22.18,25.93,26.46,21.75,27.35,34.41,36.16,33.89,37.38
43015,18.34,17.91,16.92,15.14,18.96,17.60,22.61,26.31,28.09,30.41,35.18,45.39
43016,40.03,40.10,41.76,48.81,52.34,55.73,55.57,55.55,59.58,61.10,64.57,67.61
43017,27.86,20.59,21.54,20.57,20.45,20.16,19.77,21.72,22.44,23.23,23.21,23.28
43018,23.56,19.39,19.84,22.12,28.84,28.02,31.57,33.74,33.91,43.30,41.72,46.86
43019,47.43,34.76,27.75,27.68,25.09,26.55,32.37,36.81,40.40,42.05,42.30,57.08
43020,40.12,12.11,12.71,13.62,6.20,4.96,5.20,7.20,8.39,13.58,20.76,28.57
43021,20.88,24.74,25.95,26.00,23.75,23.12,23.96,30.16,41.69,45.08,47.17,53.61
43022,23.07,20.66,16.46,15.33,15.32,15.31,14.79,36.56,50.71,55.53,53.70,58.11
43023,18.21,18.43,21.10,19.45,17.30,16.05,18.00,17.71,17.31,18.64,19.40,22.40
43024,8.04,8.21,9.20,11.23,16.11,15.72,11.46,14.79,33.85,67.85,67.01,68.00
43025,23.14,23.01,24.21,24.70,25.99,27.85,29.38,30.37,34.34,34.31,31.67,24.19
43026,35.60,34.98,34.82,32.03,34.89,35.00,34.81,35.12,39.66,42.88,43.17,44.05
43027,34.84,34.01,33.51,35.62,35.99,36.01,29.98,31.09,30.75,33.30,37.62,36.75
43028,13.45,13.20,11.32,11.01,10.95,10.40,10.13,12.80,18.34,23.27,25.29,30.31
43029,47.13,42.78,37.58,36.22,34.90,38.84,42.63,47.12,51.88,47.57,46.62,53.30
43030,10.73,3.43,3.40,3.40,10.14,13.42,12.66,13.11,22.06,25.37,26.28,27.10
50001,6.69,3.31,2.50,1.48,0.64,1.05,1.21,1.21,1.40,2.16,2.68,4.57
50002,33.06,0.00,0.00,0.00,0.00,0.00,0.00,9.27,21.20,20.28,16.86,14.95
50003,10.54,2.15,2.45,2.92,1.69,1.63,1.74,4.20,6.56,7.72,6.90,5.45
50004,17.16,1.68,1.67,5.15,5.09,4.68,3.02,0.00,0.00,0.00,0.12,1.43
51001,40.69,32.32,22.18,23.19,21.03,18.24,20.65,28.67,24.28,18.98,23.99,22.39
51002,18.12,23.68,30.90,35.65,34.35,33.40,32.39,31.68,31.66,30.46,32.69,32.66
51003,34.20,41.53,50.03,51.34,35.94,26.10,28.67,22.14,28.51,31.96,32.25,30.21
51004,15.05,16.77,9.78,3.22,0.00,5.29,4.88,6.24,7.58,5.82,5.79,6.30
51005,48.68,23.13,21.32,18.10,10.66,7.26,9.14,7.17,5.22,3.56,4.63,1.86
51006,13.73,12.92,9.70,9.82,9.21,6.28,2.67,5.23,12.82,12.95,17.68,20.26
51007,29.92,20.25,16.25,15.48,13.91,13.04,12.36,12.86,17.71,41.38,43.92,43.62
51008,44.22,49.98,51.13,49.25,46.67,43.29,41.09,41.29,39.97,38.72,37.96,39.94
51009,30.86,25.22,17.41,18.71,7.65,0.00,0.00,2.91,17.20,16.97,13.96,16.28
51010,27.19,27.61,26.57,28.45,5.90,5.90,4.93,5.93,5.94,11.92,17.42,23.24
51011,27.28,25.80,29.63,30.47,30.15,29.83,19.04,24.58,26.94,28.59,29.53,26.18
51012,16.80,25.34,23.60,25.13,26.10,24.10,25.89,28.07,38.44,36.72,35.03,36.59
51013,28.40,27.20,25.10,23.64,21.10,20.36,17.21,16.26,16.36,16.47,16.57,15.85
51014,25.98,20.98,14.21,12.45,10.79,10.11,8.91,10.23,9.00,7.17,6.74,9.78
51015,33.11,25.33,22.98,24.44,22.06,16.06,22.22,18.02,23.50,20.68,29.32,19.31
51016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,7.65,7.65,8.68
52001,27.68,25.88,23.75,21.85,21.20,23.57,25.31,26.10,27.04,26.71,24.83,23.16
52002,20.01,18.87,16.72,17.33,19.21,19.60,18.63,21.78,27.83,28.96,30.24,27.92
52003,7.28,7.52,6.52,7.75,7.06,4.70,11.01,17.28,17.30,20.46,17.36,16.45
52004,30.66,26.36,25.88,27.85,28.35,29.64,28.50,29.94,28.36,30.25,26.43,25.01
52005,21.11,10.92,12.07,9.86,10.08,10.43,12.78,21.18,25.08,26.96,26.01,26.54
52006,24.59,33.25,26.36,25.28,18.30,18.22,16.14,10.94,15.96,12.27,9.33,23.79
52007,15.18,18.30,16.69,17.07,16.92,16.43,16.13,17.64,29.99,31.35,32.36,34.64
52008,4.28,12.50,11.55,3.65,5.12,4.39,6.89,10.45,17.34,13.54,14.50,12.91
52009,15.14,13.67,8.74,0.29,0.00,3.22,0.57,1.71,5.71,3.99,3.42,5.26
52010,37.02,3.88,1.29,0.00,0.00,0.00,0.30,2.37,3.53,4.09,10.44,10.42
52011,6.95,10.74,7.98,3.24,3.50,4.33,4.84,5.19,6.00,6.13,5.79,6.66
52012,12.13,18.74,17.14,19.48,18.73,17.31,15.77,14.55,16.50,19.10,19.37,19.61
52013,39.25,33.96,31.85,28.53,26.20,24.72,23.19,25.33,32.82,33.13,33.25,32.15
52014,33.35,8.29,7.10,3.35,3.33,3.87,4.80,6.35,4.73,3.40,3.11,1.56
52015,29.15,15.28,12.88,11.33,10.36,11.46,11.22,12.05,12.15,15.47,15.22,16.16
52016,20.57,10.50,7.91,6.07,5.99,6.90,8.17,15.33,17.41,20.79,19.78,18.60
52017,14.92,5.31,5.27,5.23,5.19,4.72,4.96,4.92,5.15,6.85,6.40,6.36
52018,21.30,8.07,7.96,4.11,2.56,2.52,2.41,4.16,4.68,4.62,4.56,22.80
53001,5.66,8.85,14.97,20.38,17.77,20.75,22.39,26.05,24.90,25.09,27.48,35.14
